source|target|weight
ur.01372161601.93|ur.01105323735.15|1
ur.01105323735.15|ur.014055640065.48|1
ur.01105323735.15|ur.01206132427.12|1
ur.01105323735.15|ur.0660370014.76|1
ur.01105323735.15|ur.0635266642.02|1
ur.01105323735.15|ur.0667506721.51|1
ur.01105323735.15|ur.01017651671.49|1
ur.01105323735.15|ur.0630776216.98|1
ur.012167536221.36|ur.011160144026.70|1
ur.010756027114.96|ur.014601731345.44|3
ur.010756027114.96|ur.01106644364.96|3
ur.010756027114.96|ur.013070277273.19|1
ur.010756027114.96|ur.07721210231.44|1
ur.010756027114.96|ur.013153432575.26|1
ur.010756027114.96|ur.013510226311.19|1
ur.010756027114.96|ur.016015515671.08|1
ur.010756027114.96|ur.011657765150.52|1
ur.01106644364.96|ur.014601731345.44|3
ur.01106644364.96|ur.013070277273.19|1
ur.01106644364.96|ur.07721210231.44|1
ur.01106644364.96|ur.013153432575.26|1
ur.01106644364.96|ur.013510226311.19|1
ur.01106644364.96|ur.016015515671.08|1
ur.01106644364.96|ur.011657765150.52|1
ur.014601731345.44|ur.013070277273.19|1
ur.014601731345.44|ur.07721210231.44|1
ur.014601731345.44|ur.013153432575.26|1
ur.014601731345.44|ur.013510226311.19|1
ur.014601731345.44|ur.016015515671.08|1
ur.014601731345.44|ur.011657765150.52|1
ur.013237635704.26|ur.013324546321.39|1
ur.013237635704.26|ur.01356716460.59|1
ur.013324546321.39|ur.01356716460.59|1
ur.01356716460.59|ur.07372145325.11|2
ur.01356716460.59|ur.0701306622.23|2
ur.01356716460.59|ur.01330562567.39|1
ur.013624363051.73|ur.010316642762.32|1
ur.013624363051.73|ur.010042543335.11|1
ur.013624363051.73|ur.015500000235.57|1
ur.013624363051.73|ur.0721523257.45|1
ur.010316642762.32|ur.010042543335.11|1
ur.0727564714.69|ur.01104531757.05|1
ur.0727564714.69|ur.011037046202.82|1
ur.0727564714.69|ur.01123333164.53|1
ur.0727564714.69|ur.010746054555.45|1
ur.0727564714.69|ur.01107130536.64|1
ur.0727564714.69|ur.01224661632.44|1
ur.0727564714.69|ur.01045515614.50|1
ur.014120265635.06|ur.015005645601.35|1
ur.014763074632.40|ur.01242263635.23|2
ur.015352665653.34|ur.013263404343.05|3
