id|Citations|Productivity|Degree|Nationality|aff_country|Gender|Nationality_Region|Nationality_IncomeGroup|aff_country_Region|aff_country_IncomeGroup
ur.07775625047.60|2163|1|1|IQ|Italy|male|Middle East & North Africa|Upper middle income|Europe & Central Asia|High income
ur.013634361173.55|2161|1|0|IE|United States|male|Europe & Central Asia|High income|North America|High income
ur.010614071562.07|2156|1|2|AT|Germany|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.015007176071.56|2156|1|2|DE|Germany|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.07662777735.27|2155|1|3|AU|United States|male|East Asia & Pacific|High income|North America|High income
ur.010771176137.59|2155|1|3|US|United States||North America|High income|North America|High income
ur.016366051135.53|2155|1|3|US|United States||North America|High income|North America|High income
ur.01313554334.26|2155|1|3|BE|United States|male|Europe & Central Asia|High income|North America|High income
ur.015010464310.39|2150|1|1|TW|United States|male|||North America|High income
ur.07720340525.54|2143|1|3|SE|United States|male|Europe & Central Asia|High income|North America|High income
ur.07530265033.01|2143|1|3|US|United States|male|North America|High income|North America|High income
ur.07742352605.86|2105|1|5|JP|Japan||East Asia & Pacific|High income|East Asia & Pacific|High income
ur.012403700371.88|2105|1|5|JP|Japan||East Asia & Pacific|High income|East Asia & Pacific|High income
ur.01160337340.35|2105|1|5|JP|Japan|female|East Asia & Pacific|High income|East Asia & Pacific|High income
ur.016707015221.01|2105|1|5|JP|Japan|male|East Asia & Pacific|High income|East Asia & Pacific|High income
ur.01031414124.25|2131|1|2|IL|Germany|male|Middle East & North Africa|High income|Europe & Central Asia|High income
ur.0662125177.25|2131|1|2|IL|Germany|male|Middle East & North Africa|High income|Europe & Central Asia|High income
ur.012045756257.78|2075|1|6|US|United Kingdom|male|North America|High income|Europe & Central Asia|High income
ur.014543026633.01|2075|1|6|IT|United Kingdom|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.012365601646.23|2075|1|6|MQ|United Kingdom|male|||Europe & Central Asia|High income
ur.011467645016.42|2075|1|6|GB|United States|male|Europe & Central Asia|High income|North America|High income
