source|target|weight
ur.011033016243.08|ur.012137371515.19|1
ur.011033016243.08|ur.013150070613.88|1
ur.011033016243.08|ur.0640512403.86|1
ur.011033016243.08|ur.0657076451.24|1
ur.011033016243.08|ur.0702657043.11|1
ur.011033016243.08|ur.0714500516.26|1
ur.011033016243.08|ur.0767105504.29|1
ur.011535264111.51|ur.01207120103.29|2
ur.011535264111.51|ur.07423561367.62|2
ur.011535264111.51|ur.0721730631.45|2
ur.011535264111.51|ur.01242565474.00|2
ur.011535264111.51|ur.0702657043.11|1
ur.011535264111.51|ur.0714500516.26|1
ur.011535264111.51|ur.0767105504.29|1
ur.011535264111.51|ur.0657076451.24|1
ur.011535264111.51|ur.0640512403.86|1
ur.011535264111.51|ur.013150070613.88|1
ur.011535264111.51|ur.012137371515.19|1
ur.011535264111.51|ur.01100431331.04|1
ur.011535264111.51|ur.011033016243.08|1
ur.011535264111.51|ur.011535264111.51|1
ur.0760601756.09|ur.0621643160.19|14
ur.0760601756.09|ur.0632511150.69|11
ur.0760601756.09|ur.01017036620.03|8
ur.0760601756.09|ur.01370021645.17|5
ur.0760601756.09|ur.0775325121.62|4
ur.0760601756.09|ur.012306045101.50|3
ur.0760601756.09|ur.01262234203.57|3
ur.0760601756.09|ur.01270211166.22|3
ur.0760601756.09|ur.01106116117.02|3
ur.0760601756.09|ur.01004776104.69|3
ur.0760601756.09|ur.01060742250.24|3
ur.0760601756.09|ur.01127352226.45|3
ur.0760601756.09|ur.01165245747.67|3
ur.0760601756.09|ur.0775446106.53|3
ur.0760601756.09|ur.010434714444.72|2
ur.0760601756.09|ur.01124547064.70|2
ur.0760601756.09|ur.011412565763.37|2
ur.0760601756.09|ur.01144041011.33|2
ur.0760601756.09|ur.01167750503.30|2
ur.0760601756.09|ur.01224031676.37|2
ur.0760601756.09|ur.01247073502.08|2
ur.0760601756.09|ur.01331056567.35|2
ur.0760601756.09|ur.0651661317.47|2
ur.0760601756.09|ur.0705207637.43|2
ur.0760601756.09|ur.0712067676.85|2
ur.0760601756.09|ur.0726655414.15|2
